Hugo Symbol,Entrez Gene ID,GRCh37 Isoform,GRCh37 RefSeq,GRCh38 Isoform,GRCh38 RefSeq,Gene Type,# of occurrence within resources (Column J-P),OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE,FOUNDATION ONE HEME,Vogelstein,COSMIC CGC (v99),Gene Aliases,gene,chromosome,start,end,strand
JAK3,3718,ENST00000458235,NM_000215.3,ENST00000458235,NM_000215.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK",JAK3,19,17824780,17848071,-1
KDM5C,8242,ENST00000375401,NM_004187.3,ENST00000375401,NM_004187.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DXS1272E, JARID1C, MRX13, SMCX, XE169",KDM5C,X,53176277,53225422,-1
KDM6A,7403,ENST00000377967,NM_021140.2,ENST00000377967,NM_021140.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UTX,KDM6A,X,44873130,45112779,1
KIT,3815,ENST00000288135,NM_000222.2,ENST00000288135,NM_000222.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"C-Kit, CD117, PBT, SCFR",KIT,4,54657267,54740783,1
KMT2D,8085,ENST00000301067,NM_003482.3,ENST00000301067,NM_003482.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ALR, CAGL114, MLL2, TNRC21",KMT2D,12,49018975,49060794,-1
KRAS,3845,ENST00000311936,NM_004985.3,ENST00000311936,NM_004985.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"K-Ras4B, KRAS1, KRAS2",KRAS,12,25205246,25250936,-1
MAP2K1,5604,ENST00000307102,NM_002755.3,ENST00000307102,NM_002755.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"MAPKK1, MEK1, PRKMK1",MAP2K1,15,66386825,66491656,1
MAP3K1,4214,ENST00000399503,NM_005921.1,ENST00000399503,NM_005921.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"MAPKKK1, MEKK, MEKK1",MAP3K1,5,56815538,56896152,1
MED12,9968,ENST00000374080,NM_005120.2,ENST00000374080,NM_005120.2,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ARC240, CAGH45, FGS1, HOPA, KIAA0192, Kto, OKS, TNRC11, TRAP230",MED12,X,71118543,71144103,1
MEN1,4221,ENST00000312049,NM_130799.2,ENST00000312049,NM_130799.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,MEN1,11,64803510,64811294,-1
MET,4233,ENST00000397752,NM_000245.2,ENST00000397752,NM_000245.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DFNB97, HGFR, RCCP2",MET,7,116672051,116798386,1
MLH1,4292,ENST00000231790,NM_000249.3,ENST00000231790,NM_000249.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"COCA2, FCC2, HNPCC, HNPCC2",MLH1,3,36993226,37050896,1
MPL,4352,ENST00000372470,NM_005373.2,ENST00000372470,NM_005373.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CD110, THPOR, TPOR",MPL,1,43337808,43354466,1
MSH2,4436,ENST00000233146,NM_000251.2,ENST00000233146,NM_000251.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"COCA1, HNPCC1",MSH2,2,47403067,47663146,1
MSH6,2956,ENST00000234420,NM_000179.2,ENST00000234420,NM_000179.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GTBP,MSH6,2,47695530,47810109,1
MYD88,4615,ENST00000396334,NM_002468.4,ENST00000396334,NM_002468.5,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,MYD88,3,38138552,38143024,1
NF1,4763,ENST00000356175,NM_000267.3,ENST00000356175,NM_000267.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,NF1,17,31094927,31382116,1
NF2,4771,ENST00000338641,NM_000268.3,ENST00000338641,NM_000268.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ACN, BANF, SCH, merlin, merlin-1",NF2,22,29603546,29698598,1
NFE2L2,4780,ENST00000397062,NM_006164.4,ENST00000397062,NM_006164.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,NFE2L2,2,177218667,177392756,-1
NOTCH1,4851,ENST00000277541,NM_017617.3,ENST00000651671,NM_017617.5,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TAN1,NOTCH1,9,136494433,136546048,-1
NOTCH2,4853,ENST00000256646,NM_024408.3,ENST00000256646,NM_024408.3,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,NOTCH2,1,119911553,120100779,-1
NPM1,4869,ENST00000296930,NM_002520.6,ENST00000296930,NM_002520.6,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"B23, NPM",NPM1,5,171387086,171411810,1
NRAS,4893,ENST00000369535,NM_002524.4,ENST00000369535,NM_002524.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N-ras,NRAS,1,114704469,114716771,-1
PAX5,5079,ENST00000358127,NM_016734.2,ENST00000358127,NM_016734.2,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BSAP,PAX5,9,36833269,37034268,-1
PBRM1,55193,ENST00000394830,NM_018313.4,ENST00000394830,NM_018313.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BAF180, PB1",PBRM1,3,52544735,52685966,-1
PDGFRA,5156,ENST00000257290,NM_006206.4,ENST00000257290,NM_006206.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CD140a, GAS9, PDGFR2",PDGFRA,4,54229130,54298246,1
PIK3CA,5290,ENST00000263967,NM_006218.2,ENST00000263967,NM_006218.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PI3K,PIK3CA,3,179148114,179240093,1
PIK3R1,5295,ENST00000274335,NM_181523.2,ENST00000521381,NM_181523.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"GRB1, p85-ALPHA",PIK3R1,5,68215740,68301821,1
PPP2R1A,5518,ENST00000322088,NM_014225.5,ENST00000322088,NM_014225.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"PP2A-Aalpha, PP2AA, PR65A",PPP2R1A,19,52170936,52229518,1
PRDM1,639,ENST00000369096,NM_001198.3,ENST00000369096,NM_001198.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BLIMP1, PRDI-BF1",PRDM1,6,105993463,106109939,1
PTCH1,5727,ENST00000331920,NM_000264.3,ENST00000331920,NM_000264.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BCNS, NBCCS, PTCH",PTCH1,9,95442980,95517057,-1
PTEN,5728,ENST00000371953,NM_000314.4,ENST00000371953,NM_000314.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BZS, MHAM, MMAC1, PTEN1",PTEN,10,87862638,87971930,1
PTPN11,5781,ENST00000351677,NM_002834.3,ENST00000351677,NM_002834.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BPTP3, NS1, PTP2C, SH-PTP2, SHP-2, SHP2",PTPN11,12,112418351,112509918,1
RB1,5925,ENST00000267163,NM_000321.2,ENST00000267163,NM_000321.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"OSRC, PPP1R130, RB",RB1,13,48303735,48599436,1
RET,5979,ENST00000355710,NM_020975.4,ENST00000355710,NM_020975.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, RET51",RET,10,43077026,43130351,1
RNF43,54894,ENST00000407977,NM_017763.4,ENST00000407977,NM_017763.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DKFZp781H0392, FLJ20315, URCC",RNF43,17,58353676,58417735,-1
SETD2,29072,ENST00000409792,NM_014159.6,ENST00000409792,NM_014159.6,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FLJ23184, HIF-1, HYPB, KIAA1732, KMT3A",SETD2,3,47016428,47164113,-1
SF3B1,23451,ENST00000335508,NM_012433.2,ENST00000335508,NM_012433.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Hsh155, PRPF10, Prp10, SAP155, SF3b155",SF3B1,2,197388515,197435079,-1
SMAD2,4087,ENST00000262160,NM_001003652.3,ENST00000262160,NM_001003652.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"JV18-1, MADH2, MADR2",SMAD2,18,47808957,47931569,-1
SMAD4,4089,ENST00000342988,NM_005359.5,ENST00000342988,NM_005359.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DPC4, MADH4",SMAD4,18,51028528,51085045,1
SMARCA4,6597,ENST00000358026,NM_001128849.1,ENST00000646693,NM_001128849.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BRG1, FLJ39786, SNF2-BETA, SNF2L4, hSNF2b",SMARCA4,19,10960824,11079426,1
SMARCB1,6598,ENST00000263121,NM_003073.3,ENST00000618915,NM_003073.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BAF47, Ini1, PPP1R144, RDT, SNF5, SNF5L1, Sfh1p, Snr1, hSNFS",SMARCB1,22,23786931,23838009,1
SMO,6608,ENST00000249373,NM_005631.4,ENST00000249373,NM_005631.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FZD11, SMOH",SMO,7,129188511,129213546,1
SOCS1,8651,ENST00000332029,NM_003745.1,ENST00000332029,NM_003745.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Cish1, JAB, SOCS-1, SSI-1, TIP3",SOCS1,16,11249101,11256556,-1
SPOP,8405,ENST00000347630,NM_001007228.1,ENST00000347630,NM_001007228.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BTBD32, TEF2",SPOP,17,49598884,49678201,-1
STAG2,10735,ENST00000218089,NM_001042749.1,ENST00000218089,NM_001042749.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SA-2, SA2, SCC3B",STAG2,X,123960212,124422664,1
STK11,6794,ENST00000326873,NM_000455.4,ENST00000326873,NM_000455.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"LKB1, PJS",STK11,19,1177558,1228431,1
TET2,54790,ENST00000380013,NM_001127208.2,ENST00000380013,NM_001127208.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FLJ20032, KIAA1546",TET2,4,105145875,105279816,1
TNFAIP3,7128,ENST00000237289,NM_006290.3,ENST00000237289,NM_006290.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"A20, OTUD7C",TNFAIP3,6,137866383,137885836,1
TP53,7157,ENST00000269305,NM_000546.5,ENST00000269305,NM_000546.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"LFS1, p53",TP53,17,7661779,7687546,-1
TSC1,7248,ENST00000298552,NM_000368.4,ENST00000298552,NM_000368.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"KIAA0243, TSC, hamartin",TSC1,9,132891348,132946874,-1
U2AF1,7307,ENST00000291552,NM_006758.2,ENST00000291552,NM_006758.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"RNU2AF1, U2AF35, U2AFBP",U2AF1,21,43092956,43107605,-1
VHL,7428,ENST00000256474,NM_000551.3,ENST00000256474,NM_000551.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,VHL1,VHL,3,10141778,10153676,1
WT1,7490,ENST00000332351,NM_024426.4,ENST00000452863,NM_024426.4,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AWT1, GUD, NPHS4, WAGR, WIT-2",WT1,11,32387775,32435564,-1
AKT2,208,ENST00000392038,NM_001626.4,ENST00000392038,NM_001626.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PKBβ,AKT2,19,40230317,40285536,-1
ARID2,196528,ENST00000334344,NM_152641.2,ENST00000334344,NM_152641.2,TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,"BAF200, DKFZp686G052, FLJ30619, KIAA1557",ARID2,12,45728910,45908040,1
ATR,545,ENST00000350721,NM_001184.3,ENST00000350721,NM_001184.3,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"FRP1, MEC1, SCKL, SCKL1",ATR,3,142449007,142578781,-1
B2M,567,ENST00000558401,NM_004048.2,ENST00000559916,NM_004048.2,TSG,6,Yes,Yes,Yes,No,Yes,Yes,Yes,,B2M,15,44711253,44718851,1
BARD1,580,ENST00000260947,NM_000465.2,ENST00000260947,NM_000465.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,,BARD1,2,214725646,214809707,-1
BCL6,604,ENST00000232014,NM_001706.4,ENST00000232014,NM_001706.4,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"BCL5, BCL6A, LAZ3, ZBTB27, ZNF51",BCL6,3,187721377,187745725,-1
BRD4,23476,ENST00000263377,NM_058243.2,ENST00000263377,NM_058243.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"HUNK1, HUNKI, MCAP",BRD4,19,15235519,15332545,-1
BRIP1,83990,ENST00000259008,NM_032043.2,ENST00000259008,NM_032043.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,FANCJ,BRIP1,17,61679139,61863561,-1
BTK,695,ENST00000308731,NM_000061.2,ENST00000308731,NM_000061.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"AGMX1, ATK, IMD1, PSCTK1, XLA",BTK,X,101349338,101390796,-1
CALR,811,ENST00000316448,NM_004343.3,ENST00000316448,NM_004343.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CRT, FLJ26680, RO, SSA, cC1qR",CALR,19,12938578,12944490,1
CASP8,841,ENST00000358485,NM_001080125.1,ENST00000358485,NM_001080125.1,TSG,6,Yes,Yes,Yes,Yes,No,Yes,Yes,"Casp-8, FLICE, MACH, MCH5",CASP8,2,201233443,201361836,1
CBFB,865,ENST00000412916,NM_022845.2,ENST00000412916,NM_022845.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PEBP2B,CBFB,16,67028984,67101058,1
CCND1,595,ENST00000227507,NM_053056.2,ENST00000227507,NM_053056.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"BCL1, D11S287E, PRAD1, U21B31",CCND1,11,69641143,69654474,1
CCND2,894,ENST00000261254,NM_001759.3,ENST00000261254,NM_001759.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,,CCND2,12,4269771,4306933,1
CCND3,896,ENST00000372991,NM_001760.3,ENST00000372991,NM_001760.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,,CCND3,6,41934934,42050357,-1
CCNE1,898,ENST00000262643,NM_001238.2,ENST00000262643,NM_001238.2,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,CCNE,CCNE1,19,29811471,29824313,1
CD274,29126,ENST00000381577,NM_014143.3,ENST00000381577,NM_014143.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1",CD274,9,5450503,5470566,1
CD79A,973,ENST00000221972,NM_001783.3,ENST00000221972,NM_001783.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"IGA, MB-1",CD79A,19,41877279,41881372,1
CD79B,974,ENST00000392795,NM_001039933.1,ENST00000392795,NM_001039933.1,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"B29, IGB",CD79B,17,63928738,63932629,-1
CDK12,51755,ENST00000447079,NM_016507.2,ENST00000447079,NM_016507.2,TSG,6,Yes,Yes,Yes,Yes,Yes,No,Yes,"CRK7, CRKR, CRKRS, KIAA0904",CDK12,17,39461437,39567559,1
CDK4,1019,ENST00000257904,NM_000075.3,ENST00000257904,NM_000075.3,ONCOGENE,6,Yes,Yes,Yes,Yes,Yes,No,Yes,PSK-J3,CDK4,12,57747722,57756013,-1
